"","event","tournament","gender","pts","division","win","judge_gender","round","year"
"517","PF","silver",0,30,"JV",1,1,"prelim",2019
"518","PF","novice",0,29,"N",1,1,"prelim",2016
"520","PF","yankton",1,28,"N",0,1,"prelim",2019
"521","PF","bell",1,30,"N",1,1,"prelim",2018
"522","PF","yankton",0,26,"V",0,1,"prelim",2019
"523","PF","novice",0,27,"N",0,1,"prelim",2016
"524","PF","harrisburg",0,30,"N",1,1,"prelim",2019
"525","PF","bell",0,25,"N",0,1,"prelim",2015
"526","PF","gec",NA,NA,"N",1,1,"prelim",2021
"527","PF","novice",1,28,"N",0,1,"prelim",2015
"528","PF","sweet",0,29.4,"N",0,1,"prelim",2015
"529","PF","yankton",1,28,"N",1,1,"prelim",2019
"530","PF","novice",1,27,"N",0,1,"prelim",2017
"531","PF","harrisburg",NA,30,"N",0,1,"prelim",2019
"534","PF","bell",1,28,"JV",0,1,"prelim",2015
"535","PF","yankton",NA,26,"JV",0,1,"prelim",2021
"536","PF","silver",1,30,"N",1,1,"prelim",2016
"537","PF","bell",1,30,"V",1,1,"prelim",2018
"538","PF","cfc",1,30,"N",1,1,"prelim",2017
"539","PF","sweet",0,29.9,"N",1,1,"prelim",2015
"540","PF","silver",0,30,"V",1,1,"prelim",2019
"541","PF","silver",0,29,"N",0,1,"prelim",2016
"542","PF","sweet",0,26.5,"N",0,1,"prelim",2019
"543","PF","yankton",0,27,"N",0,1,"prelim",2019
"544","PF","gec",1,NA,"N",1,1,"prelim",2021
"545","PF","mcgov",1,29,"V",0,1,"prelim",2016
"546","PF","mcgov",1,29,"V",1,1,"prelim",2016
"547","PF","mcgov",1,28,"JV",1,1,"prelim",2016
"548","PF","silver",1,28,"N",0,1,"prelim",2020
"549","PF","silver",0,28,"JV",1,1,"prelim",2020
"550","PF","mcgov",1,30,"N",1,1,"prelim",2021
"551","PF","mcgov",1,29,"N",1,1,"prelim",2021
"552","PF","yankton",1,29,"N",0,0,"prelim",2019
"553","PF","yankton",0,30,"V",1,0,"prelim",2019
"554","PF","yankton",1,28,"N",0,0,"prelim",2019
"555","PF","yankton",1,30,"N",1,0,"prelim",2019
"556","PF","novice",1,27,"N",1,1,"prelim",2018
"558","PF","novice",1,29,"N",0,1,"prelim",2018
"559","PF","novice",0,28,"N",0,1,"prelim",2015
"560","PF","silver",0,27,"V",0,NA,"prelim",2020
"561","PF","silver",1,27.5,"N",1,NA,"prelim",2020
"562","PF","mcgov",1,27,"N",0,NA,"prelim",2018
"563","PF","mcgov",1,25,"N",0,NA,"prelim",2018
"564","PF","mcgov",NA,26,"N",0,NA,"prelim",2018
"565","PF","mcgov",0,26,"N",1,NA,"prelim",2018
"576","PF","gec",1,28,"JV",1,1,"prelim",2020
"577","PF","fiesta",1,28,"V",0,1,"prelim",2022
"578","PF","fiesta",1,30,"V",1,1,"prelim",2022
"579","PF","yankton",0,29,"N",1,1,"prelim",2020
"580","PF","yankton",1,27,"N",0,1,"prelim",2020
"581","PF","mcgov",1,30,"V",1,1,"prelim",2021
"582","PF","mcgov",0,28,"V",1,1,"prelim",2021
"583","PF","mcgov",1,27,"N",0,1,"prelim",2021
"584","PF","sweet",0,26,"N",0,1,"prelim",2017
"585","PF","sweet",1,27,"N",1,1,"prelim",2017
"586","PF","sweet",1,28.5,"N",0,1,"prelim",2015
"587","PF","yankton",0,28,"V",1,1,"prelim",2019
"588","PF","novice",0,NA,"N",1,1,"prelim",2015
"589","PF","novice",1,NA,"N",1,1,"prelim",2015
"590","PF","novice",1,NA,"N",1,1,"prelim",2015
"591","PF","sweet",0,27,"N",0,1,"prelim",2018
"592","PF","sweet",0,28,"N",1,1,"prelim",2015
"593","PF","sweet",1,27,"N",0,1,"prelim",2017
"594","PF","sweet",0,26.5,"N",1,1,"prelim",2018
"595","PF","novice",1,27,"N",0,1,"prelim",2016
